# Time (month),FSNS (W/m2),FSDSC (W/m2),FLDS (W/m2),FLNTC (W/m2),FLNT (W/m2),FLUT (W/m2),FSNTOA (W/m2),FSNT (W/m2),TS (K),SOLIN (W/m2),FLNS (W/m2),FSNTC (W/m2),FSDS (W/m2),FSNSC (W/m2),FLUTC (W/m2)
5.100000000000000000e+01,1.601978600596912941e+02,2.426733937311459215e+02,3.372380704357188961e+02,2.589368305996212030e+02,2.335140464656624033e+02,2.348142857884147929e+02,2.362747689644835702e+02,2.328982924953468796e+02,2.873349751633665505e+02,3.344575944681887449e+02,5.691886628933311698e+01,2.795667949076026275e+02,1.858953911693522230e+02,2.113469113133689916e+02,2.602370695067444331e+02
5.200000000000000000e+01,1.563476790399793401e+02,2.400489628224832757e+02,3.409845659517621357e+02,2.605276045133595062e+02,2.347784586023433349e+02,2.360661572137539395e+02,2.319322761580748136e+02,2.286290997735143833e+02,2.882144599301875019e+02,3.304511018451315181e+02,5.723914057633586339e+01,2.750595855946564257e+02,1.835145925372610520e+02,2.071599192514921128e+02,2.618153032364243131e+02
5.300000000000000000e+01,1.535939955297020276e+02,2.362673368748151290e+02,3.457146634107916725e+02,2.617061944426606033e+02,2.356819771515019966e+02,2.369651634651956442e+02,2.309751523062363106e+02,2.276976120137727264e+02,2.889113818124232012e+02,3.290112799040467735e+02,5.621889627096145148e+01,2.753631263499251531e+02,1.783413337759712078e+02,2.056506134630585052e+02,2.629893807168410831e+02
5.400000000000000000e+01,1.524665795799140540e+02,2.348240045026232679e+02,3.492055324525959463e+02,2.633602176833607018e+02,2.376403410886566405e+02,2.389290231125052912e+02,2.316069908089051239e+02,2.282819978763317295e+02,2.892907693282604100e+02,3.304680509141599600e+02,5.478736632087633751e+01,2.796160967010132481e+02,1.731630781884558132e+02,2.083074805159860432e+02,2.646488997938125749e+02
5.500000000000000000e+01,1.552759483856391682e+02,2.381349460638842572e+02,3.492753181675016663e+02,2.632629735436997862e+02,2.384450993028901280e+02,2.397475421945726453e+02,2.348208973837139411e+02,2.314135181993675303e+02,2.891096988091277353e+02,3.345752306768507651e+02,5.379739117331951093e+01,2.849744149027486060e+02,1.740095496259351364e+02,2.134594204278469078e+02,2.645654166156381280e+02
5.600000000000000000e+01,1.607592427780814148e+02,2.449543383220241139e+02,3.449846619447462786e+02,2.617898746923298177e+02,2.377342876439423378e+02,2.390504103299617213e+02,2.396214529929976891e+02,2.361470100217581489e+02,2.883949862672827180e+02,3.402668183692346702e+02,5.428218078088890763e+01,2.895192049202834710e+02,1.808301627448274189e+02,2.191533812028338275e+02,2.631059974823298830e+02
5.700000000000000000e+01,1.658556341786769508e+02,2.524848925267112065e+02,3.382125930059757479e+02,2.597572731391290404e+02,2.361689920156933908e+02,2.374954723829941940e+02,2.438251730592893125e+02,2.403143593786833208e+02,2.873634158442249031e+02,3.461481609428505521e+02,5.588181881886997360e+01,2.914659732261050067e+02,1.906631316081653154e+02,2.222081598973003054e+02,2.610837536474293188e+02
5.800000000000000000e+01,1.657054225382994446e+02,2.576620550505548408e+02,3.342872871639992240e+02,2.576858505684660372e+02,2.337163670052349005e+02,2.350682144767670820e+02,2.435652262093600768e+02,2.400434073019461323e+02,2.862938423255695852e+02,3.505524512444648622e+02,5.449289741965498024e+01,2.918481984435505296e+02,1.947523924661686010e+02,2.229622123367549591e+02,2.590376978275886017e+02
5.900000000000000000e+01,1.665386445830652065e+02,2.589428112342778832e+02,3.306274511296791161e+02,2.562213601393454496e+02,2.326489984339107195e+02,2.340215262943662538e+02,2.446413135654455004e+02,2.411210000409609222e+02,2.853971547854171149e+02,3.521020633773682107e+02,5.430058375926368797e+01,2.929874561316883046e+02,1.961428819069978715e+02,2.238010376261838701e+02,2.575938882099810030e+02
6.000000000000000000e+01,1.658719893091553388e+02,2.565059757128372553e+02,3.305862115677318798e+02,2.567464097607101507e+02,2.334954247839590380e+02,2.348691133968358997e+02,2.441038448525353033e+02,2.405802170269668068e+02,2.852974138863257281e+02,3.502502630993002981e+02,5.417983452685037093e+01,2.939836700889132999e+02,1.922540713770589207e+02,2.247718138241872055e+02,2.581200981770235217e+02
