# Time (month),FSNT (W/m2),FLNS (W/m2),FSDSC (W/m2),FSNTC (W/m2),FSNS (W/m2),FLUTC (W/m2),FSDS (W/m2),FLNT (W/m2),FLUT (W/m2),FSNSC (W/m2),TS (K),SOLIN (W/m2),FLNTC (W/m2)
4.300000000000000000e+01,2.377122797428855847e+02,4.946759562982863656e+01,2.325885591601286535e+02,2.846781847910241368e+02,1.596121884131356126e+02,2.647634105446680906e+02,1.771647162929108958e+02,2.432274610022544721e+02,2.446397295786367749e+02,2.103972298360296520e+02,2.931953263684976605e+02,3.319162397577518959e+02,2.633511420542681662e+02
4.400000000000000000e+01,2.410512956727719711e+02,4.994835567075187299e+01,2.380107580381095431e+02,2.878323200862328122e+02,1.637277091948670602e+02,2.634980180737412070e+02,1.825259704181799805e+02,2.421891568927660785e+02,2.436116679529475562e+02,2.145249175875450476e+02,2.925622008440000741e+02,3.365665217557847768e+02,2.620755071021399658e+02
4.500000000000000000e+01,2.442426742618287108e+02,5.072051912180818789e+01,2.454948595464049390e+02,2.904033396079278759e+02,1.678205258539041154e+02,2.616446409992670965e+02,1.904868192246410956e+02,2.402989505063987110e+02,2.417329324278865386e+02,2.182395172813811257e+02,2.918203528419057875e+02,3.423565764034953531e+02,2.602106591594422866e+02
4.600000000000000000e+01,2.451790229056497878e+02,5.006214693931780602e+01,2.515365521776278115e+02,2.926844830501595425e+02,1.685923123020185130e+02,2.600064145211133564e+02,1.944654590714194455e+02,2.374800836387105107e+02,2.389274538220030308e+02,2.207425546576357362e+02,2.910704594924555408e+02,3.477552318303930861e+02,2.585590442653937089e+02
4.700000000000000000e+01,2.465359373918756489e+02,4.927406506078728654e+01,2.538356558512196557e+02,2.959489647477186622e+02,1.691029440346668196e+02,2.590667017834310286e+02,1.949664664187012306e+02,2.364598388840347525e+02,2.379390957877623407e+02,2.232917969560445783e+02,2.904077452540417994e+02,3.511677614972420542e+02,2.575874448871136337e+02
4.800000000000000000e+01,2.471867230541130027e+02,4.887497260973989910e+01,2.534265067379849370e+02,2.982419866728772035e+02,1.693913683669477166e+02,2.587229538297686986e+02,1.930865867782328849e+02,2.363396142019799697e+02,2.378168337703505131e+02,2.251899488882099263e+02,2.900084874345146773e+02,3.515032055601481034e+02,2.572457342434195198e+02
4.900000000000000000e+01,2.479865565368123441e+02,4.989890633608811044e+01,2.508157393658133003e+02,2.971703285523406635e+02,1.706143308702325498e+02,2.599585539277155704e+02,1.925350656121012207e+02,2.384997106098282700e+02,2.399647153491043525e+02,2.243478877926863788e+02,2.903797215450755402e+02,3.487915157855871371e+02,2.584935491641820704e+02
5.000000000000000000e+01,2.466961857328608687e+02,5.029448552070142853e+01,2.464166237373382273e+02,2.930462344409062894e+02,1.698339004055712564e+02,2.598199403893489716e+02,1.913459876046987063e+02,2.372508270510118962e+02,2.386933877493053444e+02,2.201748779421059226e+02,2.910788859157398178e+02,3.438926921644825256e+02,2.583773796058401331e+02
5.100000000000000000e+01,2.424829632640551154e+02,5.099657790770952914e+01,2.412788247559010983e+02,2.859329386106182938e+02,1.660751303799054597e+02,2.616709279114921856e+02,1.892978618562796100e+02,2.386126889360390066e+02,2.400310518519726486e+02,2.131436178799422976e+02,2.921941645869960666e+02,3.380461108871218130e+02,2.602525649324850292e+02
5.200000000000000000e+01,2.379359909139752176e+02,5.095902682206942558e+01,2.362110934100040538e+02,2.807665578881017154e+02,1.612674692470902471e+02,2.632875484752991042e+02,1.850092639107170953e+02,2.399555918702086501e+02,2.413615379281941671e+02,2.076043186752293934e+02,2.930745343125923910e+02,3.329646889944767167e+02,2.618816023879644490e+02
