# Time (month),FLNS (W/m2),FLUT (W/m2),SOLIN (W/m2),FLNT (W/m2),FSNTC (W/m2),FSDSC (W/m2),FSNSC (W/m2),FLUTC (W/m2),FSDS (W/m2),FSNTOA (W/m2),TS (K),FLDS (W/m2),FSNT (W/m2),FSNS (W/m2),FLNTC (W/m2)
3.500000000000000000e+01,5.594173786516686420e+01,2.354554870311488344e+02,3.511677614972420542e+02,2.340894821005991275e+02,2.917399746630576374e+02,2.597508947857911039e+02,2.241571448479747630e+02,2.578448181821331673e+02,1.983256491315151209e+02,2.448931228762371006e+02,2.850048427329188598e+02,3.265163089744490321e+02,2.413826931163806080e+02,1.682364698524204130e+02,2.564788131719615762e+02
3.600000000000000000e+01,5.523247828459968645e+01,2.360921787469811477e+02,3.515032055601481034e+02,2.347205476867061407e+02,2.948285049691243671e+02,2.591511196436856039e+02,2.268256774211446043e+02,2.577992381209729160e+02,1.972472488952244873e+02,2.473167318319151775e+02,2.848343822299904673e+02,3.270168144144746520e+02,2.437808381812565131e+02,1.701848502924206343e+02,2.564276071438980011e+02
3.700000000000000000e+01,5.519066978272847734e+01,2.353269994781082630e+02,3.487915157855871371e+02,2.339613823569570172e+02,2.946047318535485715e+02,2.560474847851782556e+02,2.264717354079039922e+02,2.580240643932057765e+02,1.952508892108275234e+02,2.477621618220761377e+02,2.853354602165232450e+02,3.294817477340855021e+02,2.442275528633071531e+02,1.707950822480373461e+02,2.566584472959407890e+02
3.800000000000000000e+01,5.676496705932476061e+01,2.364342228680064864e+02,3.438926921644825256e+02,2.350928704385849812e+02,2.899023530456358344e+02,2.521208705003321597e+02,2.222499130646671404e+02,2.593885817531333373e+02,1.934274428068053169e+02,2.450238583609359750e+02,2.861516647226324608e+02,3.319135741490830469e+02,2.415328242304441630e+02,1.688775560819449026e+02,2.580472294139266864e+02
3.900000000000000000e+01,5.727069196107400018e+01,2.364936801252029852e+02,3.380461108871218130e+02,2.351779316354365221e+02,2.827494084052101471e+02,2.469837054929911915e+02,2.150983745082857297e+02,2.604369946825710826e+02,1.913805562411735082e+02,2.406484276090202457e+02,2.871665020348253847e+02,3.361446047560243073e+02,2.372348410315651961e+02,1.650111216802781371e+02,2.591212460439178926e+02
4.000000000000000000e+01,5.803718317547944849e+01,2.390122729420384360e+02,3.329646889944767167e+02,2.377121443956301903e+02,2.766993916767331143e+02,2.426259154604030073e+02,2.090960554615591036e+02,2.625434030555609297e+02,1.886096335974342537e+02,2.359794295261858394e+02,2.880957161859076336e+02,3.397044609625421003e+02,2.326504298269720437e+02,1.605969530847119700e+02,2.612432744131074855e+02
4.100000000000000000e+01,5.684443583103104203e+01,2.404202579648134588e+02,3.298736233107106273e+02,2.391275288128915122e+02,2.755266829822548971e+02,2.378535518137344411e+02,2.065903223879865607e+02,2.643441617915873394e+02,1.821404128618562197e+02,2.331075245174460235e+02,2.887954652378809328e+02,3.444757792175067266e+02,2.298194826367737562e+02,1.564869324231682981e+02,2.630514326476739484e+02
4.200000000000000000e+01,5.584758216501123940e+01,2.416198451865184040e+02,3.294832371646313618e+02,2.403210582325625069e+02,2.787646293622371445e+02,2.360741837835871308e+02,2.091391522904863791e+02,2.648786103791284745e+02,1.783250595035112269e+02,2.344883081263595273e+02,2.890061958156343849e+02,3.469476946742178143e+02,2.311731325686065190e+02,1.571163997212343020e+02,2.635798234297553222e+02
4.300000000000000000e+01,5.545084166557567329e+01,2.424366119703694551e+02,3.319162397577518959e+02,2.411340194077823753e+02,2.824332904949727094e+02,2.386968452337091549e+02,2.134708505536481198e+02,2.649995221336345139e+02,1.789723863411987850e+02,2.362676159216395035e+02,2.888402640131236012e+02,3.462754020356324531e+02,2.328880148969873858e+02,1.592748226975718069e+02,2.636969296018850741e+02
4.400000000000000000e+01,5.645497799360418156e+01,2.408826270405760681e+02,3.365665217557847768e+02,2.395744246258443866e+02,2.858000179171693276e+02,2.440848304490918679e+02,2.177389612612672067e+02,2.633430120506013736e+02,1.847614630568151597e+02,2.401129457047204880e+02,2.881250508039210558e+02,3.414687366041046630e+02,2.366771939373948612e+02,1.637530336377095921e+02,2.620348095918771492e+02
