# Time (month),SOLIN (W/m2),TS (K),FSNSC (W/m2),FLUT (W/m2),FSNS (W/m2),FLNS (W/m2),FLNTC (W/m2),FSNTC (W/m2),FLNT (W/m2),FLUTC (W/m2),FSNT (W/m2)
2.000000000000000000e+01,3.365665217557847768e+02,2.900945925641976828e+02,2.166158798671744137e+02,2.379788324501959096e+02,1.641363713039289678e+02,5.136594242591470305e+01,2.573574276820580735e+02,2.870779502351384735e+02,2.365700049365668178e+02,2.587662552373981271e+02,2.389547551724612902e+02
2.100000000000000000e+01,3.423565764034953531e+02,2.889692413791049148e+02,2.191763856165385960e+02,2.350874486672848604e+02,1.654696004438374075e+02,5.152176791400695777e+01,2.547707758526508144e+02,2.887242305868676340e+02,2.336659206178820227e+02,2.561923038896036928e+02,2.398389588926663691e+02
2.200000000000000000e+01,3.477552318303930861e+02,2.879890212612410210e+02,2.206507065809572339e+02,2.334207919385698631e+02,1.653030321990778759e+02,5.117487565256784876e+01,2.531000439131872497e+02,2.901843045721232670e+02,2.319678920920735266e+02,2.545529438337927388e+02,2.400912392472249621e+02
2.300000000000000000e+01,3.511677614972420542e+02,2.872960081681922588e+02,2.231442348388159758e+02,2.335863570553327406e+02,1.675986572208233838e+02,5.112167838074598336e+01,2.525454918499199835e+02,2.931344766584257968e+02,2.321101710772562683e+02,2.540216777392677727e+02,2.429098237501840742e+02
2.400000000000000000e+01,3.515032055601481034e+02,2.870115545391873297e+02,2.260805959932814631e+02,2.331071232390232524e+02,1.699681299806775598e+02,5.111731655288920706e+01,2.520313099044696514e+02,2.964321001764646439e+02,2.316302066874768855e+02,2.535082265087190478e+02,2.455601019480880893e+02
2.500000000000000000e+01,3.487915157855871371e+02,2.871706573173605648e+02,2.252057055214340835e+02,2.333721452464216384e+02,1.702098414798063573e+02,5.193932965452385275e+01,2.524711094993066069e+02,2.956146323845953248e+02,2.319042583308125813e+02,2.539389964194095626e+02,2.455520683096141283e+02
2.600000000000000000e+01,3.438926921644825256e+02,2.879181733627522704e+02,2.206767923843291896e+02,2.335438053149646578e+02,1.686863814020573216e+02,5.234393902965309309e+01,2.530673077101185697e+02,2.907610997532451620e+02,2.321022779506865845e+02,2.545088350532438426e+02,2.433434876569380663e+02
2.700000000000000000e+01,3.380461108871218130e+02,2.892246792727889897e+02,2.139344738171518543e+02,2.344186530765870486e+02,1.652434412665701871e+02,5.306751337917305023e+01,2.548150520520406133e+02,2.841207972403892654e+02,2.330076717394648824e+02,2.562260334599729958e+02,2.395465111251549217e+02
2.800000000000000000e+01,3.329646889944767167e+02,2.902078086328720019e+02,2.080905648456191841e+02,2.355372655118586351e+02,1.604704693015039538e+02,5.354438017977557251e+01,2.566271086067400802e+02,2.784931517108246908e+02,2.341434851879935479e+02,2.580208888493752397e+02,2.348004816957495109e+02
2.900000000000000000e+01,3.298736233107106273e+02,2.910554577533605993e+02,2.062642314198807867e+02,2.382204316618317534e+02,1.583784732545659040e+02,5.286688067724998774e+01,2.590407098041951031e+02,2.781964554926019559e+02,2.368310164630190968e+02,2.604301250155334628e+02,2.342039177978065823e+02
3.000000000000000000e+01,3.294832371646313618e+02,2.913478405837001333e+02,2.086363040542130136e+02,2.391271715755015919e+02,1.581258973276519271e+02,5.101841991330930171e+01,2.595013336388175844e+02,2.810533856344172250e+02,2.377347677123988774e+02,2.608937375021286584e+02,2.344250159988768587e+02
3.100000000000000000e+01,3.319162397577518959e+02,2.910765012160089782e+02,2.122568797885773790e+02,2.391853620716272815e+02,1.598935630304741835e+02,5.048228846446095019e+01,2.592499753210663584e+02,2.841851475761452548e+02,2.377878048307375138e+02,2.606475324735109780e+02,2.358212211871056070e+02
3.200000000000000000e+01,3.365665217557847768e+02,2.904198918320504390e+02,2.166971775805815525e+02,2.383934343327109957e+02,1.642521109378675988e+02,5.121585145469290268e+01,2.578222409051235218e+02,2.875398179222095223e+02,2.369807504092957231e+02,2.592349248880393020e+02,2.394303197108050085e+02
3.300000000000000000e+01,3.423565764034953531e+02,2.894169547323338634e+02,2.192463095671868416e+02,2.368330864928831261e+02,1.671768188015842611e+02,5.244406092153938914e+01,2.557252382323692359e+02,2.890739527624735388e+02,2.354090773281214410e+02,2.571492474197144134e+02,2.417082359860174847e+02
3.400000000000000000e+01,3.477552318303930861e+02,2.884336800736537043e+02,2.211525129103480936e+02,2.342455190739604802e+02,1.664725616541531110e+02,5.132547185187779348e+01,2.539681536355903120e+02,2.906638661114852198e+02,2.327967709388422577e+02,2.554169017749457851e+02,2.411499508873162654e+02
3.500000000000000000e+01,3.511677614972420542e+02,2.876895159813784062e+02,2.231940272382340993e+02,2.339778989509982239e+02,1.678130439716149453e+02,5.123109943323770210e+01,2.529755983866078282e+02,2.932276064332122019e+02,2.325034639801061189e+02,2.544500332549401378e+02,2.430816007354382577e+02
3.600000000000000000e+01,3.515032055601481034e+02,2.875004924622874682e+02,2.253900610180278079e+02,2.342370168110964244e+02,1.688684159247627861e+02,5.097463713925160533e+01,2.532806481594619470e+02,2.962130311560126756e+02,2.327560786751529065e+02,2.547615862536333111e+02,2.448335032598660064e+02
3.700000000000000000e+01,3.487915157855871371e+02,2.877590174844629587e+02,2.245111875853856702e+02,2.347820595393165206e+02,1.698371293058155516e+02,5.134282134138093312e+01,2.534272244975249180e+02,2.956221311986528235e+02,2.333156217107635086e+02,2.548936623405129467e+02,2.458847458271680182e+02
3.800000000000000000e+01,3.438926921644825256e+02,2.886329309029768524e+02,2.210604208255118976e+02,2.344564262424706556e+02,1.690298734220205574e+02,5.178918186913239907e+01,2.542184885377914725e+02,2.917550955163077333e+02,2.330128947796815453e+02,2.556620198761243614e+02,2.442319368167682399e+02
3.900000000000000000e+01,3.380461108871218130e+02,2.895303850036561926e+02,2.140369573275509367e+02,2.343114697091067455e+02,1.646583442278414111e+02,5.207685832183569374e+01,2.553169737394243271e+02,2.844023542691072066e+02,2.328937942425999665e+02,2.567346490995755630e+02,2.390992832641725556e+02
4.000000000000000000e+01,3.329646889944767167e+02,2.904960532691180788e+02,2.080339637207111707e+02,2.363329566848171339e+02,1.602363211453027816e+02,5.259318180838275936e+01,2.572971278750287070e+02,2.785244948853155051e+02,2.349368812534019639e+02,2.586932032552231817e+02,2.346345056362739001e+02
4.100000000000000000e+01,3.298736233107106273e+02,2.913492798702954474e+02,2.059771569117736192e+02,2.384833629248084605e+02,1.576012881121096143e+02,5.218312429229364824e+01,2.591680257657046127e+02,2.781528872164849417e+02,2.370904141148564293e+02,2.605609745230859176e+02,2.336194705746636089e+02
4.200000000000000000e+01,3.294832371646313618e+02,2.917056998620513468e+02,2.074198685350090443e+02,2.411527373651499886e+02,1.562320066144734767e+02,5.035762862440185472e+01,2.609374765678006725e+02,2.808550744295406503e+02,2.397560021356366633e+02,2.623342118925700106e+02,2.335876313027484059e+02
4.300000000000000000e+01,3.319162397577518959e+02,2.914129798940926435e+02,2.114873708133893331e+02,2.406897220902966694e+02,1.587287970059587110e+02,4.992638047108533073e+01,2.602621290413314910e+02,2.841285837609389091e+02,2.392872569068870519e+02,2.616645942835260144e+02,2.354886389084461200e+02
4.400000000000000000e+01,3.365665217557847768e+02,2.907632492425676674e+02,2.161375293643603470e+02,2.398854260595237804e+02,1.629864670020027404e+02,5.072612067944357506e+01,2.586570313747012051e+02,2.875040710011966212e+02,2.384726944003608935e+02,2.600697629507563988e+02,2.387713031037120004e+02
4.500000000000000000e+01,3.423565764034953531e+02,2.898409142590830925e+02,2.190352536443573115e+02,2.379983610276356387e+02,1.663231446767654802e+02,5.172976654538242514e+01,2.567075611479426698e+02,2.894388888347783109e+02,2.365710913559541666e+02,2.581348308096615369e+02,2.415097697650484747e+02
4.600000000000000000e+01,3.477552318303930861e+02,2.888692660370338103e+02,2.207195434384780697e+02,2.342130471316947080e+02,1.664968825512460171e+02,5.071798029415791120e+01,2.543556569207291034e+02,2.908878723512194142e+02,2.327575091819801116e+02,2.558111948663797648e+02,2.417143825977803147e+02
